ShopID,TenantName,Category,Floor
101,ZARA,Clothing,1
102,NIKE,Sportswear,1
103,H&M,Clothing,1
104,STARBUCKS,Cafe,0
105,APPLE STORE,Electronics,2
106,SAMSUNG EXPERIENCE,Electronics,2
107,PUMA,Sportswear,1
108,PVR CINEMAS,Entertainment,3
109,BOOKS & CO,Books,0
110,SEPHORA,Cosmetics,1
111,LEVI’S,Clothing,1
112,GAME ZONE,Entertainment,3
113,MANGO,Clothing,1
114,LULULEMON,Sportswear,1
115,COSTA COFFEE,Cafe,0
116,SONY STORE,Electronics,2
117,H&M HOME,Home Decor,1
118,ADIDAS,Sportswear,1
119,KIDS PLANET,Toys,2
120,CINEMA XXI,Entertainment,3
121,BURGER KING,Fast Food,0
122,PANASONIC STORE,Electronics,2
123,IKEA,Home Decor,2
124,FOREVER 21,Clothing,1
125,MAC DONALD’S,Fast Food,0
126,GUCCI,Luxury Clothing,1
127,PRADA,Luxury Clothing,1
128,LEGO STORE,Toys,2
129,STAR CINEMA,Entertainment,3
130,HOLLISTER,Clothing,1
131,CROCS,Footwear,1
132,PANDORA,Accessories,1
133,TIFFANY & CO,Jewelry,1
134,WHOLE FOODS,Grocery,0
135,SEPHORA 2,Cosmetics,1
136,REEBOK,Sportswear,1
137,NEW BALANCE,Sportswear,1
138,APPLE STORE 2,Electronics,2
139,DELL STORE,Electronics,2
140,SAMSUNG STORE,Electronics,2
141,TARGET,Retail,0
142,WALMART,Retail,0
143,UNIQLO,Clothing,1
144,BATH & BODY WORKS,Cosmetics,1
145,KIDS PLANET 2,Toys,2
146,CINEMA XXI 2,Entertainment,3
147,IKEA 2,Home Decor,2
148,NIKE FLAGSHIP,Sportswear,1
149,ADIDAS FLAGSHIP,Sportswear,1
150,STARBUCKS 2,Cafe,0
